Date,Open,High,Low,Close,Adj Close,Volume
2022-08-23,82.0,85.0,80.0,80.0,80.0,26800.0
2022-08-24,80.0,80.0,80.0,80.0,80.0,2100.0
2022-08-25,80.0,80.0,78.0,78.0,78.0,1700.0
2022-08-26,78.0,78.0,77.0,77.0,77.0,17800.0
2022-08-27,78.0,78.0,77.0,77.0,77.0,17800.0
2022-08-28,78.0,78.0,77.0,77.0,77.0,17800.0
2022-08-29,77.0,82.0,77.0,82.0,82.0,13000.0
2022-08-30,82.0,82.0,79.0,79.0,79.0,12800.0
2022-08-31,80.0,80.0,79.0,79.0,79.0,2300.0
2022-09-01,75.0,81.0,75.0,81.0,81.0,10000.0
2022-09-02,78.0,79.0,78.0,78.0,78.0,11400.0
2022-09-03,78.0,79.0,78.0,78.0,78.0,11400.0
2022-09-04,78.0,79.0,78.0,78.0,78.0,11400.0
2022-09-05,78.0,85.0,78.0,85.0,85.0,108500.0
2022-09-06,84.0,84.0,80.0,82.0,82.0,18200.0
2022-09-07,82.0,85.0,79.0,79.0,79.0,13600.0
2022-09-08,79.0,82.0,79.0,81.0,81.0,1800.0
2022-09-09,81.0,81.0,80.0,80.0,80.0,4200.0
2022-09-10,81.0,81.0,80.0,80.0,80.0,4200.0
2022-09-11,81.0,81.0,80.0,80.0,80.0,4200.0
2022-09-12,80.0,82.0,80.0,82.0,82.0,12600.0
2022-09-13,82.0,85.0,81.0,85.0,85.0,20000.0
2022-09-14,85.0,85.0,80.0,82.0,82.0,169200.0
2022-09-15,80.0,81.0,77.0,81.0,81.0,207500.0
2022-09-16,81.0,83.0,77.0,83.0,83.0,23000.0
2022-09-17,81.0,83.0,77.0,83.0,83.0,23000.0
2022-09-18,81.0,83.0,77.0,83.0,83.0,23000.0
2022-09-19,80.0,80.0,80.0,80.0,80.0,900.0
2022-09-20,80.0,80.0,77.0,80.0,80.0,53700.0
2022-09-21,80.0,80.0,79.0,79.0,79.0,1500.0
2022-09-22,79.0,84.0,79.0,84.0,84.0,116500.0
2022-09-23,80.0,84.0,79.0,84.0,84.0,16700.0
2022-09-24,80.0,84.0,79.0,84.0,84.0,16700.0
2022-09-25,80.0,84.0,79.0,84.0,84.0,16700.0
2022-09-26,84.0,84.0,83.0,83.0,83.0,3500.0
2022-09-27,80.0,83.0,80.0,83.0,83.0,5300.0
2022-09-28,82.0,82.0,82.0,82.0,82.0,300.0
2022-09-29,79.0,84.0,79.0,84.0,84.0,8100.0
2022-09-30,84.0,84.0,79.0,81.0,81.0,5400.0
2022-10-01,84.0,84.0,79.0,81.0,81.0,5400.0
2022-10-02,84.0,84.0,79.0,81.0,81.0,5400.0
2022-10-03,79.0,82.0,79.0,82.0,82.0,200.0
2022-10-04,82.0,82.0,80.0,80.0,80.0,8000.0
2022-10-05,80.0,84.0,80.0,84.0,84.0,1600.0
2022-10-06,82.0,83.0,82.0,83.0,83.0,700.0
2022-10-07,79.0,80.0,79.0,80.0,80.0,12600.0
2022-10-08,79.0,80.0,79.0,80.0,80.0,12600.0
2022-10-09,79.0,80.0,79.0,80.0,80.0,12600.0
2022-10-10,80.0,82.0,79.0,82.0,82.0,11600.0
2022-10-11,82.0,82.0,79.0,80.0,80.0,1400.0
2022-10-12,80.0,82.0,78.0,82.0,82.0,4400.0
2022-10-13,81.0,81.0,81.0,81.0,81.0,1800.0
2022-10-14,80.0,82.0,80.0,82.0,82.0,22600.0
2022-10-15,80.0,82.0,80.0,82.0,82.0,22600.0
2022-10-16,80.0,82.0,80.0,82.0,82.0,22600.0
2022-10-17,80.0,82.0,80.0,82.0,82.0,22600.0
2022-10-18,81.0,81.0,80.0,80.0,80.0,2400.0
2022-10-19,78.0,80.0,75.0,80.0,80.0,9900.0
2022-10-20,82.0,82.0,80.0,82.0,82.0,56300.0
2022-10-21,82.0,84.0,80.0,84.0,84.0,10200.0
2022-10-22,82.0,84.0,80.0,84.0,84.0,10200.0
2022-10-23,82.0,84.0,80.0,84.0,84.0,10200.0
2022-10-24,84.0,84.0,82.0,82.0,82.0,2200.0
2022-10-25,82.0,82.0,78.0,80.0,80.0,33500.0
2022-10-26,81.0,85.0,81.0,85.0,85.0,62200.0
2022-10-27,85.0,85.0,82.0,82.0,82.0,8700.0
2022-10-28,82.0,84.0,82.0,83.0,83.0,3600.0
2022-10-29,82.0,84.0,82.0,83.0,83.0,3600.0
2022-10-30,82.0,84.0,82.0,83.0,83.0,3600.0
